No. Time Source Destination Protocol Length Info
100 1.013714 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 69430 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
101 1.013716 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 70890 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
102 1.013721 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 72350 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
103 1.013723 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 73810 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
104 1.013724 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 75270 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
105 1.014139 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 32930 Win = 64128 Len = 0
106 1.014139 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 34390 Win = 64128 Len = 0
107 1.01414 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 35850 Win = 64128 Len = 0
108 1.01414 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 37310 Win = 64128 Len = 0
109 1.014171 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 76730 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
110 1.014175 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 78190 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
111 1.014177 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 79650 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
112 1.014179 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 81110 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
113 1.014181 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [PSH  ACK] Seq = 82570 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
114 1.014182 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 84030 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
115 1.014184 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 85490 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
116 1.014186 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 86950 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
117 1.016058 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 40230 Win = 64128 Len = 0
121 1.016112 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 88410 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
